Traffic Volumes Counts,,,,,,,,,,24 hour Period Hourly Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Cnty,Rte,Prefix,PM,Leg,Dir,Description,Date,Day,_0_1,,_1_2,,_2_3,,_3_4,,_4_5,,_5_6 ,,_6_7,,_7_8,,_8_9,,_9_10,,_10_11,,_11_12,,_12_13,,_13_14,,_14_15,,_15_16,,_16_17,,_17_18,,_18_19 ,,_19_20,,_20_21 ,,_21_22,,_22_23,,_23_24,,_24hr_total
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,04/09/2019,TUE,406,A,217,A,180,A,181,A,434,A,934,A,1867,A,3082,A,3318,A,2861,A,2530,C,2766,C,3313,C,4084,C,4867,C,4518,C,4675,C,4535,C,4464,C,4531,C,2939,C,2154,C,1569,C,900,C,"61,325 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/08/2019,MON,417,A,242,A,170,A,169,A,343,A,874,A,1756,A,2779,A,3210,A,2923,A,2508,A,2776,A,3181,A,4025,A,4851,A,4317,A,4854,A,4680,A,4666,A,4416,A,3046,A,2155,A,1448,A,903,A,"60,709 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/09/2019,TUE,489,A,273,A,221,A,178,A,402,A,919,A,1762,A,2801,A,3210,A,2923,A,2631,A,2896,A,3495,A,4165,A,4908,A,4427,A,4765,A,4923,A,4624,A,4962,A,3426,A,2591,A,1724,A,1111,A,"63,826 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/10/2019,WED,586,A,288,A,215,A,178,A,412,A,907,A,1781,A,2809,A,3222,A,3034,A,2703,A,3088,A,3436,A,4329,A,4907,A,4368,A,4783,A,4638,A,4577,A,4829,A,3873,A,2846,A,1852,A,1053,A,"64,714 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/11/2019,THU,625,A,280,A,239,A,211,A,413,A,953,A,1801,A,2881,A,3246,A,3049,A,2823,A,3158,A,3791,A,4477,A,4903,A,4468,A,4689,A,4774,A,4483,A,4811,A,3708,A,2662,A,1913,A,1215,A,"65,573 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/12/2019,FRI,614,A,306,A,265,A,204,A,420,A,908,A,1739,A,2693,A,3290,A,3226,A,2921,A,3580,A,4216,A,4737,A,4480,A,4106,A,4531,A,4658,A,4458,A,4489,A,3443,A,2793,A,2184,A,1452,A,"65,713 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/13/2019,SAT,920,A,507,A,324,A,223,A,272,A,504,A,952,A,1492,A,2047,A,2632,A,3210,A,3644,A,4036,A,3707,A,3749,A,3636,A,3518,A,3748,A,3502,A,3021,A,2602,A,2709,A,2644,A,1682,A,"55,281 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/14/2019,SUN,1335,A,637,A,390,A,225,A,172,A,324,A,558,A,860,A,1233,A,1930,A,2919,A,3394,A,3595,A,3808,A,3386,A,3374,A,3298,A,3122,A,2978,A,2557,A,2303,A,2173,A,1800,A,1681,A,"48,052 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,07/15/2019,MON,687,A,273,A,196,A,183,A,396,A,904,A,1755,A,2678,A,3255,A,2940,A,2762,A,2776,C,3181,C,4025,C,4851,C,4317,C,4854,C,4680,C,4666,C,4416,C,3046,C,2155,C,1448,C,903,C,"61,347 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/03/2019,THU,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,3694,A,3500,A,3315,A,3651,A,4036,A,3604,A,2756,A,1776,A,1637,A,1203,A,818,A,"29,990 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/04/2019,FRI,372,A,255,A,230,A,443,A,1493,A,3784,A,4265,A,4704,A,4693,A,4950,A,5144,A,4243,A,3809,A,3900,A,3728,A,3462,A,3796,A,4191,A,3835,A,2907,A,2278,A,1932,A,1473,A,943,A,"70,830 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/05/2019,SAT,563,A,362,A,218,A,249,A,497,A,988,A,1148,A,1395,A,1921,A,2228,A,2698,A,2861,A,3274,A,3471,A,3499,A,3223,A,3272,A,3229,A,2958,A,2416,A,2131,A,2112,A,1644,A,1080,A,"47,437 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/06/2019,SUN,918,A,450,A,307,A,211,A,269,A,501,A,734,A,1065,A,1541,A,2489,A,2708,A,3195,A,3349,A,3524,A,3176,A,3010,A,2705,A,3116,A,2441,A,2962,A,2525,A,1760,A,1409,A,1154,A,"45,519 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/07/2019,MON,611,A,254,A,463,A,1701,A,2129,A,4347,A,5282,A,5413,A,5439,A,4668,A,5445,A,4384,A,4103,A,4193,A,4179,A,4096,A,3966,A,4006,A,3621,A,2631,A,2900,A,2485,A,1269,A,684,A,"78,269 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/08/2019,TUE,350,A,398,A,241,A,527,A,1745,A,4278,A,5187,A,5615,A,5398,A,5241,A,5541,A,3895,A,3542,A,3626,A,3495,A,3519,A,3865,A,4636,A,3920,A,2798,A,2166,A,2339,A,1252,A,994,A,"74,568 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/09/2019,WED,661,A,797,A,348,A,644,A,1872,A,4296,A,5334,A,5653,A,5807,A,5253,A,5655,A,4279,A,3821,A,5004,A,4296,A,3775,A,3874,A,4410,A,3849,A,2926,A,1920,A,1608,A,1141,A,712,A,"77,935 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/10/2019,THU,398,A,287,A,256,A,542,A,1778,A,4615,A,5368,A,5189,A,4860,A,5118,A,5836,A,4406,A,3768,A,3915,A,3750,A,3656,A,3970,A,4131,A,3847,A,3310,A,2182,A,1662,A,1230,A,811,A,"74,885 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/11/2019,FRI,446,A,308,A,274,A,710,A,1920,A,4045,A,5065,A,5354,A,5562,A,5573,A,5362,A,4352,A,3975,A,4120,A,3773,A,3764,A,4161,A,4359,A,4039,A,3054,A,2472,A,1885,A,1628,A,1039,A,"77,240 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/12/2019,SAT,814,A,467,A,387,A,293,A,566,A,1255,A,1598,A,1995,A,2580,A,2983,A,3140,A,3385,A,3721,A,4126,A,3772,A,3574,A,3809,A,3887,A,3573,A,3132,A,2631,A,2667,A,1936,A,1298,A,"57,589 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/13/2019,SUN,773,A,490,A,337,A,231,A,260,A,545,A,845,A,1104,A,1788,A,2821,A,2791,A,3563,A,3919,A,4109,A,4212,A,3459,A,3466,A,3471,A,3269,A,2943,A,2636,A,2002,A,1447,A,689,A,"51,170 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/14/2019,MON,363,A,218,A,220,A,534,A,1773,A,4274,A,5070,A,5719,A,4941,A,5013,A,5564,A,4129,A,3456,A,3708,A,3565,A,3351,A,3927,A,4281,A,3718,A,2834,A,1797,A,1431,A,998,A,582,A,"71,466 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,01/15/2019,TUE,309,A,208,A,237,A,500,A,1805,A,4310,A,5149,A,5372,A,4604,A,4550,A,5328,A,4317,A,3639,A,3676,A,3500,A,3474,A,3847,A,4248,A,3856,A,2867,A,1831,A,1657,A,1055,A,637,A,"70,976 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/01/2019,MON,377,A,196,A,270,A,678,A,2275,A,4565,A,5047,A,5380,A,5378,A,5350,A,4846,A,4004,A,3474,A,3674,A,3476,A,3423,A,3774,A,3792,A,3417,A,2523,A,1840,A,1478,A,1064,A,609,A,"70,910 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/02/2019,TUE,330,A,592,A,539,A,1050,A,2641,A,5782,A,5775,A,4649,A,6037,A,5764,A,4804,A,4137,A,3475,A,3725,A,3623,A,3430,A,3952,A,4092,A,3611,A,2801,A,1936,A,1672,A,1281,A,715,A,"76,413 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/03/2019,WED,378,A,203,A,219,A,649,A,2265,A,4702,A,5050,A,5545,A,5534,A,5332,A,5108,A,4169,A,3777,A,3863,A,3611,A,3689,A,4004,A,4072,A,3547,A,2766,A,1943,A,1626,A,1169,A,787,A,"74,008 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/04/2019,THU,447,A,351,A,303,A,691,A,2341,A,4654,A,5260,A,5407,A,5683,A,5383,A,5194,A,4218,A,3810,A,3958,A,3916,A,3710,A,4103,A,4040,A,3564,A,2887,A,2084,A,1734,A,1212,A,738,A,"75,688 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/05/2019,FRI,409,A,236,A,253,A,686,A,2036,A,4440,A,4970,A,5355,A,5708,A,5318,A,5108,A,4172,A,4008,A,4061,A,3646,A,3745,A,4045,A,4157,A,3364,A,2872,A,2234,A,2124,A,1630,A,1061,A,"75,638 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/06/2019,SAT,546,A,376,A,269,A,299,A,675,A,1242,A,1897,A,2080,A,2643,A,2902,A,3284,A,3762,A,4061,A,4150,A,3991,A,3769,A,3804,A,3740,A,3573,A,3324,A,2880,A,2584,A,1923,A,1441,A,"59,215 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/07/2019,SUN,935,A,440,A,299,A,175,A,296,A,564,A,944,A,1269,A,2102,A,3039,A,3484,A,3715,A,3819,A,3915,A,3971,A,3738,A,4109,A,3229,A,3362,A,3136,A,2718,A,2312,A,1419,A,759,A,"53,749 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/08/2019,MON,373,A,192,A,358,A,713,A,2434,A,4634,A,5199,A,5450,A,5375,A,5650,A,5343,A,3764,A,4026,A,4421,A,4142,A,4337,A,4250,A,5907,A,3346,A,2544,A,2481,A,1589,A,992,A,586,A,"78,106 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,04/09/2019,TUE,291,A,155,A,239,A,662,A,2280,A,4719,A,5067,A,5150,A,4735,A,5069,A,4804,C,4137,C,3475,C,3725,C,3623,C,3430,C,3952,C,4092,C,3611,C,2801,C,1936,C,1672,C,1281,C,715,C,"71,621 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/08/2019,MON,493,A,268,A,310,A,685,A,2064,A,4584,A,5308,A,5342,A,5336,A,5327,A,5071,A,3926,A,3571,A,3489,A,3326,A,3232,A,3674,A,3989,A,3501,A,2630,A,1908,A,1567,A,1064,A,696,A,"71,361 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/09/2019,TUE,368,A,223,A,210,A,558,A,2068,A,4581,A,5070,A,5497,A,5070,A,5400,A,5084,A,3875,A,3768,A,3836,A,3507,A,3302,A,3815,A,4154,A,3505,A,2769,A,2048,A,1817,A,1210,A,715,A,"72,450 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/10/2019,WED,475,A,261,A,288,A,616,A,2112,A,4600,A,5131,A,5511,A,5327,A,5319,A,5301,A,4173,A,3993,A,3855,A,3546,A,3280,A,3846,A,3980,A,3657,A,2654,A,2071,A,1951,A,1308,A,806,A,"74,061 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/11/2019,THU,393,A,271,A,288,A,611,A,2117,A,4628,A,5031,A,5439,A,5418,A,5260,A,5219,A,4430,A,3865,A,3882,A,3402,A,3510,A,3941,A,4060,A,3598,A,2762,A,2120,A,2135,A,1432,A,806,A,"74,618 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/12/2019,FRI,457,A,260,A,307,A,652,A,1988,A,4359,A,4788,A,5225,A,5527,A,5480,A,5088,A,4169,A,3803,A,3909,A,3688,A,3724,A,3898,A,4006,A,3662,A,2936,A,2468,A,2373,A,1869,A,1190,A,"75,826 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/13/2019,SAT,710,A,424,A,302,A,339,A,695,A,1244,A,1711,A,2051,A,2507,A,3230,A,3527,A,3587,A,4098,A,4218,A,4221,A,3827,A,3684,A,3626,A,3435,A,3193,A,2842,A,2875,A,2332,A,1772,A,"60,450 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/14/2019,SUN,959,A,511,A,394,A,325,A,339,A,1035,A,1686,A,2066,A,2108,A,2913,A,3183,A,3779,A,3665,A,4075,A,4111,A,3825,A,3383,A,3414,A,3408,A,3314,A,3095,A,2616,A,1978,A,1424,A,"57,606 "
4,SCL,237 , ,8.02,A,W,SAN JOSE- ZANKER ROAD INTERCHA,07/15/2019,MON,721,A,763,A,281,A,708,A,2422,A,4846,A,5346,A,5505,A,5020,A,5210,A,5432,A,3926,C,3571,C,3489,C,3326,C,3232,C,3674,C,3989,C,3501,C,2630,C,1908,C,1567,C,1064,C,696,C,"72,827 "
4,SCL,237 , ,9.335,B,E,JCT. RTE. 880- NIMITZ FREEWAY ,01/03/2019,THU,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,4211,A,5152,A,4929,A,5282,A,5950,A,4609,A,3823,A,2705,A,2016,A,1387,A,864,A,"40,928 "
